code,energy_kcal_100g,energy_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,sodium_100g,predict
8713406130098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5425023530979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
46567007410,400.0,1674.0,30.0,20.0,0.0,0.0,40.0,4.5,1.8,2
69739518501123221550135,114.705882352941,480.0,2.05882352941176,0.0,15.5882352941176,0.0,6.47058823529412,0.0,0.0,1
2304157005788,116.0,485.0,2.6,1.3,0.5,0.5,23.0,0.16,0.064,1
92145181362,60.0,251.0,0.0,0.0,12.8,12.8,0.8,0.0,0.0,1
3321271195552,180.0,753.0,13.0,8.6,8.3,0.5,7.5,0.77,0.308,3
5281236700208,120.0,502.0,10.0,5.0,6.0,0.0,0.0,0.5,0.2,1
8437013028141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0201375103215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8437001799213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4102670350112,256.0,1071.0,18.0,3.8,0.5,0.5,24.0,0.86,0.344,3
8019730040356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9414789100904,41.2,172.0,0.0,0.0,10.880000305176,10.840000152588,0.0,0.0,0.0,1
8015057000899,128.0,536.0,1.3,0.2,24.0,0.0,4.5,1.4,0.56,3
6171227150039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3662317012922,397.0,1661.0,12.4,4.0,67.2,48.5,4.2,0.14,0.056,2
2000000295466,435.0,1820.0,26.0,16.0,43.0,28.0,6.9,0.22,0.088,2
587026900119003579,346.0,1448.0,24.0,8.0,0.5,0.0,32.0,5.0,2.0,2
3234786113907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4260569280015,360.0,1506.0,1.4,1.0,80.0,0.5,6.3,0.0,0.0,2
8029643002334,340.0,1423.0,1.5,0.1,72.0,0.7,9.0,1.8,0.72,2
8076809529976,455.0,1904.0,18.2,4.0,65.9,28.2,5.4,0.3,0.12,2
5060175132451,385.0,1611.0,4.8,2.8,69.7,60.5,10.0,0.02,0.008,2
2441827025841,402.0,1682.0,32.0,19.0,0.5,0.0,28.0,0.3,0.12,2
8011988000847,58.0,243.0,0.2,0.0,7.5,0.0,4.0,0.43,0.172,1
